category,accuracy,sDIS,sAMB,total,correct,incorrect,unknown,n_disamb,disamb_n_correct,disamb_n_incorrect,disamb_n_incorrect_and_unknown,disamb_n_incorrect_and_stereotype,disamb_n_incorrect_and_non_stereotype,disamb_n_stereotype,n_amb,amb_n_correct,amb_n_incorrect,amb_n_incorrect_and_unknown,amb_n_incorrect_and_stereotype,amb_n_incorrect_and_non_stereotype,amb_n_stereotype
Disability_status,0.9151670951156813,-0.006191950464396245,-0.0,1556,1424,132,910,778,646,132,132,0,132,321,778,778,0,0,0,0,0
Sexual_orientation,0.7824074074074074,-0.05691056910569103,-0.0,864,676,188,618,432,244,188,186,1,187,116,432,432,0,0,0,0,0
Nationality,0.8603896103896104,0.0035714285714285587,2.3191094619665776e-05,3080,2650,430,1950,1540,1120,420,420,0,420,562,1540,1530,10,0,0,10,0
Gender_identity,0.8302186177715092,-0.01973333333333338,-0.0,5672,4709,963,3797,2836,1873,963,961,1,962,919,2836,2836,0,0,0,0,0
Race_ethnicity,0.8809593023255814,-0.030904235024799664,-0.0,6880,6061,819,4259,3440,2621,819,819,0,819,1270,3440,3440,0,0,0,0,0
Physical_appearance,0.7836294416243654,-0.02857142857142858,-3.6258158085570165e-05,1576,1235,341,1085,788,448,340,298,17,323,238,788,787,1,0,1,0,1
Religion,0.7683333333333333,0.05389221556886237,0.0010778443113772483,1200,922,278,854,600,334,266,266,0,266,176,600,588,12,0,12,0,12
Age,0.8945652173913043,0.019849418206707714,2.1575454572509364e-05,3680,3292,388,2217,1840,1454,386,379,0,386,745,1840,1838,2,0,2,0,2
SES,0.8457167832167832,0.024863042562157656,0.0,6864,5805,1059,4491,3432,2373,1059,1059,0,1059,1216,3432,3432,0,0,0,0,0
OVERALL,0.8534361851332398,-0.003582303421099775,-5.709395991807808e-06,31372,26774,4598,20181,15686,11113,4573,4520,19,4554,5563,15686,15661,25,0,15,10,15
