category,accuracy,sDIS,sAMB,total,correct,incorrect,unknown,n_disamb,disamb_n_correct,disamb_n_incorrect,disamb_n_incorrect_and_unknown,disamb_n_incorrect_and_stereotype,disamb_n_incorrect_and_non_stereotype,disamb_n_stereotype,n_amb,amb_n_correct,amb_n_incorrect,amb_n_incorrect_and_unknown,amb_n_incorrect_and_stereotype,amb_n_incorrect_and_non_stereotype,amb_n_stereotype
Age,0.9154891304347826,0.0035502958579882726,0.00029328531000772675,3680,3369,311,1838,1840,1681,159,150,1,158,848,1840,1688,152,0,148,4,148
Race_x_gender,0.944110275689223,-0.0288204695627724,-5.056222730310963e-05,15960,15068,892,8833,7980,7102,878,867,2,876,3454,7980,7966,14,0,5,9,5
Disability_status,0.9640102827763496,0.019230769230769162,0.00014830927427328337,1556,1500,56,822,778,728,50,50,0,50,371,778,772,6,0,5,1,5
Race_ethnicity,0.9609011627906977,-0.029217719132893505,-0.00010192227604497623,6880,6611,269,3685,3440,3183,257,257,0,257,1545,3440,3428,12,0,10,2,10
Race_x_SES,0.9781362007168459,-0.0177711958533876,-0.00020382733595283344,11160,10916,244,5694,5580,5400,180,178,0,180,2653,5580,5516,64,0,55,9,55
Sexual_orientation,0.9050925925925926,-0.02824858757062143,-0.00019617074701820368,864,782,82,507,432,353,79,78,0,79,172,432,429,3,0,3,0,3
Gender_identity,0.9243653032440057,-0.0173985086992543,-3.067438064043516e-05,5672,5243,429,3253,2836,2412,424,422,1,423,1186,2836,2831,5,0,3,2,3
Religion,0.8566666666666667,0.006211180124223503,0.0004244306418219395,1200,1028,172,676,600,469,131,117,9,122,243,600,559,41,0,34,7,34
Physical_appearance,0.8623096446700508,-0.015923566878980888,-0.000202075721814478,1576,1359,217,938,788,581,207,160,17,190,309,788,778,10,0,8,2,8
SES,0.9023892773892774,0.04088952654232414,0.0003097691404721523,6864,6194,670,4050,3432,2788,644,644,0,644,1451,3432,3406,26,0,25,1,25
Nationality,0.9110389610389611,-0.0273972602739726,-0.0008539405799679775,3080,2806,274,1718,1540,1314,226,226,0,226,639,1540,1492,48,0,11,37,11
OVERALL,0.9381795801135198,-0.013603096141318938,-0.00017721328146900545,58492,54876,3616,32014,29246,26011,3235,3149,30,3205,12871,29246,28865,381,0,307,74,307
