category,accuracy,sDIS,sAMB,total,correct,incorrect,unknown,n_disamb,disamb_n_correct,disamb_n_incorrect,disamb_n_incorrect_and_unknown,disamb_n_incorrect_and_stereotype,disamb_n_incorrect_and_non_stereotype,disamb_n_stereotype,n_amb,amb_n_correct,amb_n_incorrect,amb_n_incorrect_and_unknown,amb_n_incorrect_and_stereotype,amb_n_incorrect_and_non_stereotype,amb_n_stereotype
Age,0.9524456521739131,0.017281105990783363,0.00030054097375275434,3680,3505,175,1912,1840,1697,143,104,22,121,883,1840,1808,32,0,25,7,25
Disability_status,0.9524421593830334,0.0,0.0,1556,1482,74,838,778,710,68,66,1,67,356,778,772,6,0,0,6,0
Nationality,0.9545454545454546,-0.02058197303051812,-0.00010691934041827598,3080,2940,140,1663,1540,1408,132,131,0,132,690,1540,1532,8,0,2,6,2
Religion,0.9016666666666666,0.03891050583657596,0.0016212710765239969,1200,1082,118,661,600,507,93,86,6,87,267,600,575,25,0,21,4,21
SES,0.8972902097902098,0.03956442831215967,0.00024209003337860054,6864,6159,705,4088,3432,2748,684,677,0,684,1432,3432,3411,21,0,8,13,8
Race_ethnicity,0.9667151162790698,-0.008372093023255811,-1.9469983775013922e-05,6880,6651,229,3647,3440,3219,221,215,2,219,1599,3440,3432,8,0,1,7,1
Sexual_orientation,0.9317129629629629,-0.02400000000000002,-5.555555555555452e-05,864,805,59,488,432,374,58,57,0,58,183,432,431,1,0,0,1,0
Gender_identity,0.9428772919605077,-0.011023622047244053,-7.774063502992973e-05,5672,5348,324,3112,2836,2532,304,296,0,304,1256,2836,2816,20,0,2,18,2
Physical_appearance,0.875,0.016845329249617125,6.413196414828827e-05,1576,1379,197,920,788,594,194,135,17,177,332,788,785,3,0,1,2,1
OVERALL,0.9355794976412087,0.005532006609670237,4.373127754680004e-05,31372,29351,2021,17329,15686,13789,1897,1767,48,1849,6998,15686,15562,124,0,60,64,60
