category,accuracy,sDIS,sAMB,total,correct,incorrect,unknown,n_disamb,disamb_n_correct,disamb_n_incorrect,disamb_n_incorrect_and_unknown,disamb_n_incorrect_and_stereotype,disamb_n_incorrect_and_non_stereotype,disamb_n_stereotype,n_amb,amb_n_correct,amb_n_incorrect,amb_n_incorrect_and_unknown,amb_n_incorrect_and_stereotype,amb_n_incorrect_and_non_stereotype,amb_n_stereotype
Religion,0.8933333333333333,0.04296875,0.002220052083333332,1200,1072,128,657,600,503,97,88,9,88,267,600,569,31,0,31,0,31
Sexual_orientation,0.9386574074074074,-0.018372703412073532,-8.50588120929334e-05,864,811,53,481,432,381,51,51,0,51,187,432,430,2,0,1,1,1
Gender_identity,0.9474612129760226,0.002750491159135615,4.849243933596082e-06,5672,5374,298,3122,2836,2543,293,291,0,293,1276,2836,2831,5,0,1,4,1
Race_ethnicity,0.979360465116279,-0.008139885438649408,-2.6028703437541576e-05,6880,6738,142,3552,3440,3309,131,123,7,124,1645,3440,3429,11,0,8,3,8
Nationality,0.961038961038961,0.0013812154696133394,2.421611537633774e-05,3080,2960,120,1605,1540,1447,93,92,0,93,725,1540,1513,27,0,5,22,5
Age,0.9271739130434783,-0.0028105677346823565,-0.0002199574748881844,3680,3412,268,1757,1840,1716,124,61,28,96,887,1840,1696,144,0,143,1,143
Disability_status,0.9453727506426736,0.0014306151645206988,3.6776739447833237e-06,1556,1471,85,855,778,695,83,79,2,81,350,778,776,2,0,0,2,0
Physical_appearance,0.873730964467005,0.016845329249617125,6.413196414828827e-05,1576,1377,199,920,788,592,196,135,19,177,332,788,785,3,0,2,1,2
SES,0.9147727272727273,0.05898681471200562,0.0004984317093963149,6864,6279,585,3953,3432,2876,556,550,2,554,1526,3432,3403,29,0,19,10,19
OVERALL,0.9401377024097922,0.012239729881823314,0.00019819529452907774,31372,29494,1878,16902,15686,14062,1624,1470,67,1557,7195,15686,15432,254,0,210,44,210
