category,accuracy,sDIS,sAMB,total,correct,incorrect,unknown,n_disamb,disamb_n_correct,disamb_n_incorrect,disamb_n_incorrect_and_unknown,disamb_n_incorrect_and_stereotype,disamb_n_incorrect_and_non_stereotype,disamb_n_stereotype,n_amb,amb_n_correct,amb_n_incorrect,amb_n_incorrect_and_unknown,amb_n_incorrect_and_stereotype,amb_n_incorrect_and_non_stereotype,amb_n_stereotype
Disability_status,0.9460154241645244,-0.007092198581560294,-4.5579682400773155e-05,1556,1472,84,846,778,699,79,73,3,76,350,778,773,5,0,2,3,2
Physical_appearance,0.876269035532995,0.019908116385911168,2.5264107088720386e-05,1576,1381,195,922,788,594,194,135,19,175,333,788,787,1,0,1,0,1
Nationality,0.964935064935065,0.0006854009595613775,1.2016770070231928e-05,3080,2972,108,1594,1540,1459,81,81,0,81,730,1540,1513,27,0,5,22,5
SES,0.9172494172494172,0.050812305565157256,0.00037013625848745314,6864,6296,568,3946,3432,2889,543,539,1,542,1520,3432,3407,25,0,13,12,13
Age,0.9277173913043478,0.016393442622950838,0.0011671418389166079,3680,3414,266,1780,1840,1705,135,71,33,102,899,1840,1709,131,0,131,0,131
Religion,0.8933333333333333,0.04125736738703334,0.002062868369351669,1200,1072,128,661,600,502,98,91,5,93,265,600,570,30,0,29,1,29
Race_ethnicity,0.9789244186046512,-0.009644364074743783,-2.2428753662195314e-05,6880,6735,145,3554,3440,3303,137,122,9,128,1643,3440,3432,8,0,4,4,4
Sexual_orientation,0.9317129629629629,-0.015873015873015928,-0.00018371546149323985,864,805,59,481,432,378,54,54,0,54,186,432,427,5,0,3,2,3
Gender_identity,0.9488716502115656,-0.006669282071400495,-4.703301883921357e-06,5672,5382,290,3121,2836,2548,288,287,0,288,1266,2836,2834,2,0,2,0,2
OVERALL,0.9412533469335713,0.010609147755216819,0.00015826473127124395,31372,29529,1843,16905,15686,14077,1609,1453,70,1539,7192,15686,15452,234,0,190,44,190
