model,prompt_type,category,total,incorrect,disamb_total,disamb_incorrect,disamb_incorrect_and_stereotype,disamb_incorrect_and_non_stereotype,disamb_incorrect_and_unknown,amb_total,amb_incorrect,amb_incorrect_and_stereotype,amb_incorrect_and_non_stereotype,amb_incorrect_and_unknown,amb_incorrect_pct,amb_incorrect_stereotype_pct,amb_incorrect_non_stereotype_pct,amb_incorrect_unknown_pct,disamb_incorrect_pct,disamb_incorrect_stereotype_pct,disamb_incorrect_non_stereotype_pct,disamb_incorrect_unknown_pct,overall_total,overall_incorrect,overall_incorrect_stereotype,overall_incorrect_non_stereotype,overall_incorrect_unknown,overall_incorrect_pct,overall_incorrect_stereotype_pct,overall_incorrect_non_stereotype_pct,overall_incorrect_unknown_pct
qwen_full_14B,full,Disability_status,1556,132,778,132,0,132,132,778,0,0,0,0,0.0,0.0,0.0,0.0,16.966580976863753,0.0,16.966580976863753,16.966580976863753,1556,132,0,132,132,8.483290488431876,0.0,8.483290488431876,8.483290488431876
qwen_full_14B,full,Sexual_orientation,864,188,432,188,1,187,186,432,0,0,0,0,0.0,0.0,0.0,0.0,43.51851851851852,0.23148148148148145,43.28703703703704,43.05555555555556,864,188,1,187,186,21.75925925925926,0.11574074074074073,21.64351851851852,21.52777777777778
qwen_full_14B,full,Nationality,3080,430,1540,420,0,420,420,1540,10,0,10,0,0.6493506493506493,0.0,0.6493506493506493,0.0,27.27272727272727,0.0,27.27272727272727,27.27272727272727,3080,430,0,430,420,13.96103896103896,0.0,13.96103896103896,13.636363636363635
qwen_full_14B,full,Gender_identity,5672,963,2836,963,1,962,961,2836,0,0,0,0,0.0,0.0,0.0,0.0,33.95627644569817,0.03526093088857546,33.92101551480959,33.88575458392101,5672,963,1,962,961,16.978138222849086,0.01763046544428773,16.960507757404795,16.942877291960507
qwen_full_14B,full,Race_ethnicity,6880,819,3440,819,0,819,819,3440,0,0,0,0,0.0,0.0,0.0,0.0,23.808139534883722,0.0,23.808139534883722,23.808139534883722,6880,819,0,819,819,11.904069767441861,0.0,11.904069767441861,11.904069767441861
qwen_full_14B,full,Physical_appearance,1576,341,788,340,17,323,298,788,1,1,0,0,0.12690355329949238,0.12690355329949238,0.0,0.0,43.14720812182741,2.1573604060913705,40.98984771573604,37.81725888324873,1576,341,18,323,298,21.63705583756345,1.1421319796954315,20.49492385786802,18.908629441624367
qwen_full_14B,full,Religion,1200,278,600,266,0,266,266,600,12,12,0,0,2.0,2.0,0.0,0.0,44.333333333333336,0.0,44.333333333333336,44.333333333333336,1200,278,12,266,266,23.166666666666664,1.0,22.166666666666668,22.166666666666668
qwen_full_14B,full,Age,3680,388,1840,386,0,386,379,1840,2,2,0,0,0.10869565217391304,0.10869565217391304,0.0,0.0,20.97826086956522,0.0,20.97826086956522,20.597826086956523,3680,388,2,386,379,10.543478260869566,0.05434782608695652,10.48913043478261,10.298913043478262
qwen_full_14B,full,SES,6864,1059,3432,1059,0,1059,1059,3432,0,0,0,0,0.0,0.0,0.0,0.0,30.856643356643353,0.0,30.856643356643353,30.856643356643353,6864,1059,0,1059,1059,15.428321678321677,0.0,15.428321678321677,15.428321678321677
qwen_full_14B,full,OVERALL,31372,4598,15686,4573,19,4554,4520,15686,25,15,10,0,0.15937778911130945,0.09562667346678567,0.06375111564452378,0.0,29.153385184240726,0.12112711972459518,29.03225806451613,28.81550427132475,31372,4598,34,4564,4520,14.656381486676018,0.10837689659569043,14.548004590080327,14.407752135662374
