model,scope,accuracy_delta,bias_reduction,bias_delta
llama3-8b_N8_s1_all_cat_sample,Age,15.0,12.0,-12.0
llama3-8b_N8_s1_all_cat_sample,Disability_status,9.0,9.0,-9.0
llama3-8b_N8_s1_all_cat_sample,Gender_identity,3.0,2.0,-2.0
llama3-8b_N8_s1_all_cat_sample,Nationality,8.0,6.0,-6.0
llama3-8b_N8_s1_all_cat_sample,Physical_appearance,-1.0,3.0,-3.0
llama3-8b_N8_s1_all_cat_sample,Race_ethnicity,0.0,0.0,0.0
llama3-8b_N8_s1_all_cat_sample,Race_x_SES,4.0,0.0,0.0
llama3-8b_N8_s1_all_cat_sample,Race_x_gender,0.0,0.0,0.0
llama3-8b_N8_s1_all_cat_sample,Religion,4.0,3.0,-3.0
llama3-8b_N8_s1_all_cat_sample,SES,6.0,15.0,-15.0
llama3-8b_N8_s1_all_cat_sample,Sexual_orientation,3.0,5.0,-5.0
llama3.2-3b_N8_s1_all_cat_sample,Age,10.0,4.0,-4.0
llama3.2-3b_N8_s1_all_cat_sample,Disability_status,12.0,7.0,-7.0
llama3.2-3b_N8_s1_all_cat_sample,Gender_identity,6.0,0.0,0.0
llama3.2-3b_N8_s1_all_cat_sample,Nationality,6.0,4.0,-4.0
llama3.2-3b_N8_s1_all_cat_sample,Physical_appearance,17.0,17.0,-17.0
llama3.2-3b_N8_s1_all_cat_sample,Race_ethnicity,3.0,1.0,-1.0
llama3.2-3b_N8_s1_all_cat_sample,Race_x_SES,3.0,1.0,-1.0
llama3.2-3b_N8_s1_all_cat_sample,Race_x_gender,1.0,1.0,-1.0
llama3.2-3b_N8_s1_all_cat_sample,Religion,1.0,1.0,-1.0
llama3.2-3b_N8_s1_all_cat_sample,SES,3.0,13.0,-13.0
llama3.2-3b_N8_s1_all_cat_sample,Sexual_orientation,4.0,7.0,-7.0
qwen3-1.7b_N8_s1_all_cat_sample,Age,3.0,0.0,0.0
qwen3-1.7b_N8_s1_all_cat_sample,Disability_status,2.0,2.0,-2.0
qwen3-1.7b_N8_s1_all_cat_sample,Gender_identity,0.0,0.0,0.0
qwen3-1.7b_N8_s1_all_cat_sample,Nationality,0.0,-1.0,1.0
qwen3-1.7b_N8_s1_all_cat_sample,Physical_appearance,6.0,5.0,-5.0
qwen3-1.7b_N8_s1_all_cat_sample,Race_ethnicity,0.0,0.0,0.0
qwen3-1.7b_N8_s1_all_cat_sample,Race_x_SES,0.0,0.0,0.0
qwen3-1.7b_N8_s1_all_cat_sample,Race_x_gender,0.0,0.0,0.0
qwen3-1.7b_N8_s1_all_cat_sample,Religion,0.0,0.0,0.0
qwen3-1.7b_N8_s1_all_cat_sample,SES,-4.0,0.0,0.0
qwen3-1.7b_N8_s1_all_cat_sample,Sexual_orientation,1.0,3.0,-3.0
qwen3-4b_N8_s1_all_cat_sample,Age,5.0,4.0,-4.0
qwen3-4b_N8_s1_all_cat_sample,Disability_status,2.0,2.0,-2.0
qwen3-4b_N8_s1_all_cat_sample,Gender_identity,-1.0,0.0,0.0
qwen3-4b_N8_s1_all_cat_sample,Nationality,2.0,2.0,-2.0
qwen3-4b_N8_s1_all_cat_sample,Physical_appearance,5.0,5.0,-5.0
qwen3-4b_N8_s1_all_cat_sample,Race_ethnicity,0.0,0.0,0.0
qwen3-4b_N8_s1_all_cat_sample,Race_x_SES,0.0,0.0,0.0
qwen3-4b_N8_s1_all_cat_sample,Race_x_gender,0.0,0.0,0.0
qwen3-4b_N8_s1_all_cat_sample,Religion,0.0,0.0,0.0
qwen3-4b_N8_s1_all_cat_sample,SES,1.0,3.0,-3.0
qwen3-4b_N8_s1_all_cat_sample,Sexual_orientation,-1.0,0.0,0.0
