category,accuracy,sDIS,sAMB,total,correct,incorrect,unknown,n_disamb,disamb_n_correct,disamb_n_incorrect,disamb_n_incorrect_and_unknown,disamb_n_incorrect_and_stereotype,disamb_n_incorrect_and_non_stereotype,disamb_n_stereotype,n_amb,amb_n_correct,amb_n_incorrect,amb_n_incorrect_and_unknown,amb_n_incorrect_and_stereotype,amb_n_incorrect_and_non_stereotype,amb_n_stereotype
SES,0.8968531468531469,0.028633562885103325,0.0002252640436765137,6864,6156,708,4078,3432,2751,681,673,0,681,1419,3432,3405,27,0,6,21,6
Nationality,0.9613636363636363,-0.01614035087719301,-3.1442241968557375e-05,3080,2961,119,1652,1540,1424,116,115,0,116,701,1540,1537,3,0,1,2,1
Age,0.9584239130434783,-0.0022857142857143353,-3.35403726708083e-05,3680,3527,153,1903,1840,1714,126,90,15,111,873,1840,1813,27,0,25,2,25
Disability_status,0.9582262210796915,0.0013986013986013734,1.7976881730094175e-06,1556,1491,65,840,778,714,64,63,0,64,358,778,777,1,0,1,0,1
Physical_appearance,0.8724619289340102,0.018575851393188847,4.714683094717892e-05,1576,1375,201,928,788,589,199,142,18,181,329,788,786,2,0,1,1,1
Religion,0.9108333333333334,0.02127659574468077,0.0007801418439716274,1200,1093,107,661,600,515,85,83,2,83,264,600,578,22,0,20,2,20
Gender_identity,0.9435825105782792,-0.017793594306049876,-4.391930893594913e-05,5672,5352,320,3136,2836,2523,313,307,0,313,1242,2836,2829,7,0,1,6,1
Sexual_orientation,0.9189814814814815,-0.024390243902439046,-0.0003387533875338744,864,794,70,489,432,368,64,63,0,64,180,432,426,6,0,0,6,0
Race_ethnicity,0.9661337209302325,-0.005569306930693019,-2.266578402026245e-05,6880,6647,233,3634,3440,3221,219,208,2,217,1607,3440,3426,14,0,3,11,3
OVERALL,0.9370138977432105,0.0002869028833740739,1.9936512997433257e-06,31372,29396,1976,17321,15686,13819,1867,1744,37,1830,6973,15686,15577,109,0,58,51,58
